personnel_id,unit_id,rank,role,specialization,training_status,training_completion_percentage,deployment_status,joining_date
P-01601,U-052,Senior,Analyst,Maintenance,In Progress,69.5,Available,2020-05-31
P-01602,U-043,Senior,Analyst,Systems,In Progress,71.7,Available,2021-07-28
P-01603,U-045,Lead,Engineer,Planning,In Progress,55.5,Training,2021-08-10
P-01604,U-058,Junior,Medic,Operations,In Progress,65.5,Training,2020-05-19
P-01605,U-034,Lead,Logistics,Systems,In Progress,64.8,Training,2025-04-01
P-01606,U-027,Officer,Analyst,Operations,In Progress,85.7,Available,2020-03-18
P-01607,U-004,Officer,Operator,Operations,Complete,91.1,Deployed,2019-05-04
P-01608,U-008,Lead,Logistics,Planning,In Progress,75.4,Available,2024-06-18
P-01609,U-002,Junior,Medic,Operations,In Progress,67.8,Available,2022-07-08
P-01610,U-003,Junior,Analyst,Systems,Complete,95.3,Available,2023-04-09
P-01611,U-007,Officer,Analyst,Operations,Complete,92.3,Deployed,2021-11-17
P-01612,U-026,Lead,Medic,Systems,In Progress,58.6,Deployed,2021-05-07
P-01613,U-045,Officer,Operator,Operations,Complete,99.3,Training,2019-02-25
P-01614,U-002,Junior,Engineer,Systems,In Progress,65.1,Deployed,2025-09-17
P-01615,U-047,Senior,Operator,Maintenance,In Progress,74.6,Training,2022-02-19
P-01616,U-053,Junior,Operator,Operations,Complete,95.6,Available,2019-03-30
P-01617,U-004,Junior,Analyst,Operations,Complete,97.6,Training,2024-11-14
P-01618,U-051,Lead,Engineer,Maintenance,Complete,91.6,Training,2023-03-03
P-01619,U-008,Senior,Logistics,Planning,In Progress,60.7,Training,2023-01-05
P-01620,U-043,Senior,Logistics,Planning,In Progress,60.5,Training,2023-07-01
P-01621,U-018,Officer,Engineer,Systems,In Progress,69.5,Deployed,2021-04-28
P-01622,U-046,Senior,Engineer,Systems,In Progress,58.7,Available,2023-07-19
P-01623,U-004,Senior,Medic,Planning,In Progress,64.6,Available,2023-06-21
P-01624,U-007,Lead,Analyst,Planning,In Progress,70.3,Training,2019-09-23
P-01625,U-055,Senior,Engineer,Operations,In Progress,77.7,Deployed,2023-01-28
P-01626,U-056,Senior,Medic,Maintenance,In Progress,82.9,Available,2021-02-12
P-01627,U-028,Lead,Logistics,Systems,In Progress,62.4,Available,2023-03-04
P-01628,U-057,Junior,Engineer,Systems,In Progress,59.8,Deployed,2020-02-06
P-01629,U-018,Officer,Analyst,Operations,In Progress,56.3,Available,2024-03-04
P-01630,U-006,Senior,Engineer,Planning,In Progress,70.9,Training,2022-10-31
P-01631,U-033,Officer,Analyst,Operations,In Progress,70.0,Available,2018-07-21
P-01632,U-042,Officer,Engineer,Operations,In Progress,72.2,Available,2022-07-08
P-01633,U-012,Officer,Logistics,Planning,In Progress,81.7,Available,2025-08-22
P-01634,U-004,Junior,Engineer,Systems,In Progress,84.1,Available,2018-05-27
P-01635,U-037,Junior,Logistics,Systems,In Progress,67.0,Deployed,2020-07-16
P-01636,U-057,Officer,Medic,Planning,In Progress,82.9,Available,2020-06-19
P-01637,U-047,Lead,Medic,Maintenance,Complete,92.1,Available,2020-04-13
P-01638,U-023,Lead,Operator,Systems,In Progress,83.7,Available,2023-08-24
P-01639,U-059,Officer,Analyst,Maintenance,In Progress,86.5,Available,2021-07-14
P-01640,U-044,Senior,Analyst,Planning,In Progress,58.1,Available,2018-02-22
P-01641,U-043,Lead,Operator,Maintenance,In Progress,76.4,Deployed,2018-11-12
P-01642,U-011,Junior,Logistics,Operations,In Progress,85.6,Deployed,2024-07-16
P-01643,U-001,Senior,Medic,Systems,In Progress,77.0,Available,2018-03-13
P-01644,U-037,Lead,Engineer,Maintenance,In Progress,85.6,Available,2019-01-20
P-01645,U-007,Lead,Medic,Planning,In Progress,68.7,Training,2021-12-07
P-01646,U-035,Officer,Analyst,Operations,In Progress,66.6,Deployed,2018-02-25
P-01647,U-053,Lead,Logistics,Planning,In Progress,70.9,Available,2021-01-10
P-01648,U-044,Junior,Engineer,Planning,In Progress,78.4,Available,2025-05-24
P-01649,U-010,Junior,Engineer,Planning,In Progress,71.1,Deployed,2020-04-25
P-01650,U-048,Officer,Operator,Operations,In Progress,59.0,Training,2025-08-12
P-01651,U-035,Officer,Logistics,Maintenance,Complete,95.5,Deployed,2025-08-13
P-01652,U-023,Officer,Logistics,Planning,Complete,95.0,Deployed,2021-06-20
P-01653,U-013,Lead,Logistics,Systems,In Progress,56.8,Deployed,2023-02-07
P-01654,U-037,Lead,Analyst,Systems,Complete,98.6,Available,2023-08-06
P-01655,U-060,Officer,Engineer,Operations,In Progress,85.8,Training,2024-04-05
P-01656,U-043,Officer,Analyst,Systems,In Progress,62.3,Deployed,2018-03-05
P-01657,U-030,Lead,Logistics,Systems,In Progress,56.8,Available,2023-06-24
P-01658,U-020,Lead,Operator,Systems,In Progress,55.2,Deployed,2019-07-19
P-01659,U-023,Senior,Operator,Operations,Complete,94.5,Available,2020-03-16
P-01660,U-028,Junior,Analyst,Maintenance,In Progress,81.3,Available,2023-04-23
P-01661,U-060,Officer,Medic,Planning,In Progress,71.0,Available,2020-12-06
P-01662,U-059,Lead,Engineer,Planning,In Progress,68.6,Training,2021-08-13
P-01663,U-052,Senior,Analyst,Maintenance,In Progress,81.0,Deployed,2024-03-20
P-01664,U-013,Junior,Analyst,Planning,In Progress,68.5,Training,2020-01-22
P-01665,U-025,Officer,Operator,Maintenance,Complete,90.2,Training,2022-12-16
P-01666,U-045,Lead,Medic,Operations,In Progress,69.1,Deployed,2023-03-26
P-01667,U-027,Officer,Operator,Systems,Complete,98.3,Deployed,2018-12-29
P-01668,U-049,Lead,Engineer,Operations,In Progress,61.3,Available,2024-12-18
P-01669,U-035,Lead,Operator,Planning,Complete,95.5,Available,2022-07-09
P-01670,U-043,Officer,Operator,Systems,In Progress,55.3,Available,2021-01-11
P-01671,U-054,Junior,Analyst,Systems,Complete,99.4,Deployed,2024-05-05
P-01672,U-031,Junior,Operator,Systems,In Progress,86.1,Training,2020-04-19
P-01673,U-034,Officer,Engineer,Maintenance,In Progress,61.5,Training,2025-03-05
P-01674,U-055,Lead,Operator,Planning,In Progress,62.0,Training,2025-09-18
P-01675,U-013,Junior,Engineer,Systems,In Progress,60.2,Training,2019-02-01
P-01676,U-016,Officer,Operator,Planning,In Progress,64.2,Deployed,2018-08-16
P-01677,U-060,Officer,Medic,Maintenance,In Progress,60.5,Available,2024-02-18
P-01678,U-017,Officer,Logistics,Systems,Complete,92.0,Deployed,2019-08-23
P-01679,U-041,Senior,Engineer,Maintenance,In Progress,56.0,Training,2025-11-05
P-01680,U-035,Officer,Analyst,Operations,In Progress,64.0,Training,2019-02-14
P-01681,U-038,Lead,Medic,Planning,In Progress,77.2,Training,2019-03-16
P-01682,U-030,Officer,Engineer,Systems,In Progress,73.8,Deployed,2023-02-16
P-01683,U-008,Junior,Logistics,Operations,In Progress,80.4,Available,2025-03-27
P-01684,U-042,Officer,Operator,Operations,Complete,95.2,Available,2023-04-01
P-01685,U-057,Lead,Operator,Maintenance,In Progress,87.5,Deployed,2023-08-13
P-01686,U-055,Senior,Analyst,Planning,Complete,93.7,Training,2018-09-15
P-01687,U-012,Lead,Logistics,Operations,In Progress,84.5,Deployed,2026-01-08
P-01688,U-055,Lead,Analyst,Planning,Complete,90.4,Available,2025-03-27
P-01689,U-031,Officer,Logistics,Maintenance,In Progress,71.9,Training,2025-12-12
P-01690,U-060,Lead,Engineer,Operations,In Progress,77.8,Training,2024-07-06
P-01691,U-023,Officer,Operator,Systems,In Progress,81.3,Available,2019-10-14
P-01692,U-015,Junior,Medic,Planning,In Progress,59.3,Deployed,2020-08-06
P-01693,U-050,Senior,Operator,Maintenance,Complete,91.4,Training,2022-04-23
P-01694,U-049,Junior,Operator,Operations,Complete,98.8,Available,2018-06-03
P-01695,U-055,Officer,Analyst,Systems,In Progress,88.7,Available,2021-08-08
P-01696,U-007,Officer,Engineer,Maintenance,In Progress,86.4,Available,2020-10-31
P-01697,U-032,Lead,Engineer,Maintenance,In Progress,74.7,Training,2019-10-26
P-01698,U-028,Senior,Operator,Systems,Complete,91.6,Training,2025-07-01
P-01699,U-007,Senior,Operator,Operations,In Progress,64.2,Deployed,2024-05-16
P-01700,U-035,Lead,Engineer,Planning,Complete,93.9,Available,2020-04-29
P-01701,U-037,Lead,Analyst,Maintenance,Complete,92.2,Available,2022-12-03
P-01702,U-028,Junior,Logistics,Systems,In Progress,83.1,Available,2023-10-20
P-01703,U-020,Officer,Engineer,Systems,In Progress,59.5,Training,2024-01-24
P-01704,U-022,Lead,Analyst,Planning,In Progress,56.0,Training,2022-01-05
P-01705,U-005,Senior,Analyst,Systems,Complete,94.3,Training,2024-06-14
P-01706,U-016,Lead,Medic,Systems,Complete,93.4,Training,2025-10-28
P-01707,U-058,Officer,Analyst,Systems,In Progress,60.0,Available,2021-10-16
P-01708,U-027,Lead,Operator,Maintenance,In Progress,66.7,Available,2024-02-19
P-01709,U-053,Junior,Engineer,Planning,In Progress,88.0,Available,2024-04-28
P-01710,U-058,Junior,Analyst,Systems,In Progress,82.5,Deployed,2024-09-16
P-01711,U-048,Junior,Logistics,Planning,In Progress,82.6,Available,2021-01-13
P-01712,U-047,Junior,Medic,Maintenance,In Progress,56.9,Training,2021-12-05
P-01713,U-028,Senior,Operator,Systems,In Progress,76.5,Available,2020-03-14
P-01714,U-035,Officer,Operator,Planning,In Progress,82.4,Available,2022-05-05
P-01715,U-050,Senior,Medic,Planning,In Progress,72.0,Training,2019-07-19
P-01716,U-008,Lead,Analyst,Maintenance,In Progress,74.7,Deployed,2022-11-24
P-01717,U-059,Senior,Operator,Systems,In Progress,57.6,Available,2022-08-19
P-01718,U-048,Junior,Operator,Maintenance,In Progress,88.9,Available,2018-11-10
P-01719,U-004,Senior,Analyst,Systems,In Progress,60.7,Deployed,2021-12-03
P-01720,U-039,Senior,Analyst,Maintenance,In Progress,84.5,Training,2022-06-18
P-01721,U-031,Junior,Operator,Operations,In Progress,84.6,Training,2020-04-23
P-01722,U-032,Lead,Engineer,Planning,In Progress,86.7,Training,2021-05-24
P-01723,U-024,Lead,Engineer,Operations,Complete,90.1,Deployed,2025-10-29
P-01724,U-035,Junior,Analyst,Planning,In Progress,77.7,Training,2024-12-22
P-01725,U-032,Senior,Engineer,Maintenance,In Progress,67.6,Deployed,2024-03-14
P-01726,U-014,Senior,Operator,Maintenance,In Progress,60.5,Training,2022-12-09
P-01727,U-042,Junior,Operator,Planning,In Progress,89.4,Available,2021-01-12
P-01728,U-018,Lead,Operator,Systems,In Progress,81.5,Deployed,2024-11-02
P-01729,U-025,Officer,Medic,Planning,In Progress,77.3,Available,2020-07-08
P-01730,U-014,Officer,Logistics,Systems,In Progress,72.1,Training,2021-06-03
P-01731,U-003,Lead,Operator,Operations,In Progress,79.4,Deployed,2024-08-17
P-01732,U-014,Lead,Logistics,Planning,In Progress,89.1,Deployed,2026-03-06
P-01733,U-060,Junior,Operator,Planning,In Progress,88.1,Training,2025-08-08
P-01734,U-019,Officer,Medic,Operations,Complete,93.6,Available,2022-04-11
P-01735,U-030,Senior,Engineer,Systems,In Progress,88.6,Deployed,2025-08-27
P-01736,U-018,Senior,Logistics,Operations,In Progress,58.8,Deployed,2024-05-28
P-01737,U-026,Lead,Analyst,Operations,In Progress,56.7,Training,2020-10-23
P-01738,U-051,Junior,Operator,Operations,In Progress,84.4,Training,2025-05-30
P-01739,U-021,Senior,Medic,Planning,Complete,92.6,Available,2022-12-07
P-01740,U-001,Lead,Medic,Maintenance,In Progress,76.0,Deployed,2018-08-28
P-01741,U-038,Lead,Logistics,Operations,Complete,97.2,Available,2022-12-10
P-01742,U-012,Lead,Analyst,Planning,In Progress,66.6,Available,2020-07-20
P-01743,U-041,Junior,Engineer,Systems,In Progress,62.9,Training,2018-06-07
P-01744,U-012,Officer,Logistics,Operations,In Progress,85.8,Available,2024-03-16
P-01745,U-046,Lead,Analyst,Systems,In Progress,65.3,Training,2021-12-18
P-01746,U-035,Senior,Analyst,Systems,In Progress,87.3,Available,2023-09-08
P-01747,U-029,Junior,Engineer,Maintenance,In Progress,60.1,Deployed,2024-05-25
P-01748,U-024,Officer,Operator,Planning,Complete,92.3,Deployed,2019-08-10
P-01749,U-002,Lead,Analyst,Planning,In Progress,69.7,Training,2022-03-15
P-01750,U-031,Lead,Logistics,Systems,Complete,97.4,Available,2022-02-17
P-01751,U-003,Senior,Logistics,Systems,In Progress,68.1,Available,2024-10-30
P-01752,U-014,Lead,Engineer,Planning,Complete,91.4,Training,2018-05-14
P-01753,U-043,Officer,Operator,Systems,In Progress,87.7,Available,2024-05-04
P-01754,U-033,Officer,Logistics,Systems,Complete,99.9,Training,2018-07-30
P-01755,U-039,Officer,Analyst,Operations,In Progress,76.3,Available,2024-06-14
P-01756,U-019,Lead,Engineer,Operations,Complete,96.0,Available,2023-02-11
P-01757,U-021,Junior,Engineer,Planning,In Progress,88.7,Training,2022-08-07
P-01758,U-024,Junior,Analyst,Planning,In Progress,58.6,Training,2020-08-01
P-01759,U-029,Senior,Logistics,Maintenance,Complete,90.4,Training,2020-09-30
P-01760,U-050,Senior,Logistics,Operations,Complete,95.9,Deployed,2021-10-31
P-01761,U-021,Officer,Medic,Maintenance,In Progress,60.3,Training,2023-07-18
P-01762,U-041,Senior,Engineer,Planning,Complete,94.7,Available,2019-11-15
P-01763,U-008,Officer,Operator,Maintenance,In Progress,73.8,Available,2022-11-03
P-01764,U-002,Junior,Engineer,Planning,In Progress,86.1,Deployed,2021-12-22
P-01765,U-009,Senior,Analyst,Systems,In Progress,73.1,Deployed,2021-10-10
P-01766,U-038,Junior,Operator,Systems,In Progress,82.4,Training,2021-12-24
P-01767,U-029,Officer,Medic,Operations,Complete,96.0,Deployed,2025-11-07
P-01768,U-009,Junior,Engineer,Systems,In Progress,88.0,Training,2024-08-26
P-01769,U-024,Officer,Medic,Operations,In Progress,85.3,Deployed,2019-12-25
P-01770,U-033,Lead,Operator,Maintenance,In Progress,87.5,Deployed,2023-07-14
P-01771,U-022,Officer,Analyst,Operations,In Progress,57.2,Deployed,2021-07-28
P-01772,U-049,Senior,Operator,Maintenance,In Progress,63.0,Deployed,2023-10-28
P-01773,U-018,Lead,Operator,Operations,In Progress,80.9,Deployed,2019-11-10
P-01774,U-008,Officer,Medic,Maintenance,In Progress,68.0,Available,2021-03-27
P-01775,U-059,Junior,Engineer,Operations,In Progress,66.7,Available,2019-01-29
P-01776,U-014,Senior,Operator,Systems,In Progress,79.8,Training,2024-01-13
P-01777,U-052,Officer,Operator,Operations,In Progress,63.8,Available,2021-02-28
P-01778,U-037,Officer,Logistics,Maintenance,In Progress,74.2,Deployed,2021-04-23
P-01779,U-059,Junior,Medic,Planning,In Progress,59.9,Deployed,2020-12-13
P-01780,U-006,Lead,Operator,Operations,Complete,93.9,Available,2020-06-30
P-01781,U-047,Senior,Logistics,Operations,In Progress,58.3,Deployed,2023-02-01
P-01782,U-041,Junior,Analyst,Systems,In Progress,88.1,Deployed,2019-02-16
P-01783,U-060,Lead,Engineer,Systems,In Progress,86.7,Training,2025-01-13
P-01784,U-001,Officer,Engineer,Maintenance,In Progress,66.1,Deployed,2023-04-10
P-01785,U-010,Senior,Medic,Operations,In Progress,76.8,Available,2020-03-24
P-01786,U-041,Senior,Operator,Planning,Complete,94.4,Available,2023-07-03
P-01787,U-036,Senior,Operator,Planning,In Progress,82.5,Training,2020-12-13
P-01788,U-040,Senior,Analyst,Planning,In Progress,72.1,Training,2025-05-14
P-01789,U-012,Senior,Analyst,Planning,Complete,94.5,Deployed,2025-01-24
P-01790,U-026,Officer,Analyst,Systems,In Progress,81.9,Available,2019-04-06
P-01791,U-057,Lead,Medic,Planning,Complete,95.4,Deployed,2020-10-10
P-01792,U-043,Senior,Medic,Operations,In Progress,74.1,Training,2019-04-11
P-01793,U-023,Senior,Medic,Planning,In Progress,86.4,Training,2022-08-15
P-01794,U-044,Lead,Analyst,Maintenance,In Progress,65.6,Deployed,2018-09-07
P-01795,U-036,Lead,Analyst,Planning,In Progress,89.7,Deployed,2022-12-16
P-01796,U-028,Junior,Analyst,Planning,In Progress,72.9,Training,2020-06-15
P-01797,U-022,Junior,Analyst,Planning,In Progress,83.6,Deployed,2020-06-25
P-01798,U-037,Senior,Operator,Operations,Complete,94.4,Available,2024-10-13
P-01799,U-035,Junior,Medic,Systems,In Progress,55.9,Training,2021-09-27
P-01800,U-059,Junior,Operator,Maintenance,In Progress,70.9,Deployed,2024-01-03
P-01801,U-013,Officer,Engineer,Operations,Complete,99.3,Available,2022-03-12
P-01802,U-022,Senior,Operator,Systems,In Progress,73.6,Available,2023-11-27
P-01803,U-007,Officer,Operator,Maintenance,In Progress,77.6,Deployed,2021-05-19
P-01804,U-002,Senior,Operator,Operations,In Progress,65.4,Training,2019-05-22
P-01805,U-053,Officer,Engineer,Operations,Complete,90.3,Available,2018-11-10
P-01806,U-005,Officer,Operator,Systems,In Progress,77.7,Training,2024-01-28
P-01807,U-039,Junior,Logistics,Planning,Complete,96.4,Available,2024-10-16
P-01808,U-055,Lead,Medic,Systems,In Progress,69.0,Deployed,2021-01-27
P-01809,U-030,Lead,Logistics,Planning,In Progress,64.1,Deployed,2021-04-07
P-01810,U-028,Officer,Logistics,Operations,In Progress,59.2,Deployed,2021-03-10
P-01811,U-059,Senior,Medic,Systems,In Progress,86.6,Deployed,2026-02-28
P-01812,U-026,Junior,Medic,Maintenance,Complete,97.8,Training,2018-04-12
P-01813,U-026,Officer,Analyst,Planning,In Progress,89.7,Training,2019-03-23
P-01814,U-042,Senior,Operator,Systems,In Progress,69.0,Training,2019-11-25
P-01815,U-014,Officer,Logistics,Maintenance,Complete,93.9,Available,2019-08-02
P-01816,U-026,Officer,Logistics,Maintenance,In Progress,82.7,Available,2023-07-15
P-01817,U-017,Lead,Engineer,Systems,In Progress,73.5,Deployed,2025-09-23
P-01818,U-037,Junior,Analyst,Maintenance,In Progress,81.9,Training,2023-06-25
P-01819,U-035,Senior,Analyst,Planning,In Progress,77.5,Training,2023-06-02
P-01820,U-033,Junior,Operator,Planning,In Progress,80.0,Training,2018-11-14
P-01821,U-025,Junior,Engineer,Systems,In Progress,60.7,Available,2020-03-19
P-01822,U-029,Junior,Operator,Planning,Complete,94.1,Deployed,2019-12-01
P-01823,U-041,Officer,Engineer,Planning,Complete,91.1,Deployed,2018-02-07
P-01824,U-019,Lead,Analyst,Operations,In Progress,60.3,Training,2022-03-03
P-01825,U-037,Senior,Analyst,Maintenance,In Progress,84.3,Training,2026-01-05
P-01826,U-024,Lead,Medic,Planning,In Progress,78.4,Available,2021-09-14
P-01827,U-060,Senior,Engineer,Planning,In Progress,88.6,Available,2021-07-25
P-01828,U-027,Officer,Operator,Systems,In Progress,63.1,Deployed,2025-11-13
P-01829,U-013,Junior,Logistics,Planning,In Progress,64.0,Deployed,2019-01-23
P-01830,U-004,Senior,Operator,Operations,In Progress,83.1,Training,2024-04-09
P-01831,U-057,Junior,Engineer,Operations,In Progress,65.2,Deployed,2022-10-12
P-01832,U-038,Lead,Logistics,Planning,In Progress,87.8,Deployed,2024-04-17
P-01833,U-035,Senior,Operator,Maintenance,In Progress,83.9,Available,2026-03-12
P-01834,U-014,Lead,Logistics,Systems,In Progress,67.6,Available,2023-11-10
P-01835,U-038,Officer,Analyst,Operations,In Progress,84.0,Training,2024-11-27
P-01836,U-043,Senior,Engineer,Systems,Complete,95.9,Available,2020-06-05
P-01837,U-006,Senior,Engineer,Maintenance,Complete,96.8,Deployed,2018-01-02
P-01838,U-021,Junior,Engineer,Planning,In Progress,58.5,Deployed,2025-06-16
P-01839,U-031,Junior,Engineer,Planning,In Progress,69.7,Deployed,2022-04-29
P-01840,U-046,Lead,Logistics,Operations,In Progress,76.4,Training,2018-11-17
P-01841,U-057,Senior,Engineer,Operations,In Progress,82.2,Training,2019-08-09
P-01842,U-054,Officer,Medic,Operations,In Progress,74.7,Training,2019-05-08
P-01843,U-036,Lead,Engineer,Systems,Complete,95.5,Deployed,2023-03-25
P-01844,U-050,Officer,Engineer,Maintenance,In Progress,85.2,Deployed,2022-03-13
P-01845,U-012,Junior,Engineer,Planning,Complete,97.0,Deployed,2023-11-25
P-01846,U-013,Lead,Analyst,Systems,In Progress,55.3,Deployed,2020-11-05
P-01847,U-033,Lead,Operator,Operations,Complete,96.5,Training,2023-05-15
P-01848,U-026,Lead,Analyst,Systems,In Progress,57.0,Training,2018-05-05
P-01849,U-056,Officer,Logistics,Planning,In Progress,87.3,Deployed,2019-12-13
P-01850,U-031,Junior,Operator,Operations,In Progress,88.7,Available,2024-11-15
P-01851,U-058,Senior,Engineer,Systems,In Progress,87.1,Deployed,2019-05-05
P-01852,U-004,Junior,Analyst,Systems,In Progress,75.0,Training,2021-02-10
P-01853,U-055,Junior,Analyst,Operations,In Progress,63.7,Training,2019-11-25
P-01854,U-058,Lead,Logistics,Systems,Complete,99.4,Training,2022-07-10
P-01855,U-027,Junior,Operator,Maintenance,Complete,92.7,Training,2019-08-28
P-01856,U-047,Senior,Medic,Systems,In Progress,67.0,Deployed,2024-10-28
P-01857,U-013,Officer,Engineer,Systems,In Progress,86.0,Deployed,2021-01-26
P-01858,U-036,Lead,Medic,Systems,In Progress,70.8,Training,2023-03-12
P-01859,U-006,Junior,Engineer,Systems,In Progress,60.2,Available,2021-07-24
P-01860,U-038,Junior,Engineer,Systems,In Progress,83.2,Available,2025-02-26
P-01861,U-024,Senior,Analyst,Maintenance,In Progress,75.7,Training,2019-06-28
P-01862,U-020,Lead,Engineer,Operations,In Progress,57.4,Available,2024-05-03
P-01863,U-021,Senior,Analyst,Maintenance,In Progress,73.6,Available,2021-04-23
P-01864,U-017,Lead,Operator,Planning,In Progress,86.4,Deployed,2024-06-28
P-01865,U-024,Officer,Engineer,Systems,In Progress,70.7,Training,2022-04-29
P-01866,U-010,Senior,Medic,Operations,In Progress,79.2,Training,2025-08-25
P-01867,U-051,Lead,Logistics,Operations,In Progress,68.0,Available,2023-10-04
P-01868,U-050,Senior,Medic,Operations,In Progress,64.5,Available,2019-04-18
P-01869,U-034,Senior,Medic,Maintenance,In Progress,84.6,Deployed,2024-07-31
P-01870,U-021,Officer,Logistics,Systems,In Progress,71.8,Deployed,2025-11-12
P-01871,U-007,Junior,Engineer,Planning,In Progress,83.3,Deployed,2021-10-02
P-01872,U-022,Junior,Engineer,Operations,In Progress,84.2,Deployed,2019-10-29
P-01873,U-030,Junior,Medic,Planning,In Progress,79.6,Training,2024-06-17
P-01874,U-045,Officer,Medic,Maintenance,In Progress,74.6,Deployed,2026-02-10
P-01875,U-024,Officer,Medic,Operations,In Progress,82.0,Available,2020-08-17
P-01876,U-049,Junior,Medic,Planning,Complete,97.1,Deployed,2024-06-23
P-01877,U-026,Senior,Logistics,Maintenance,In Progress,81.7,Deployed,2024-09-10
P-01878,U-045,Senior,Logistics,Maintenance,Complete,97.4,Available,2025-06-10
P-01879,U-022,Junior,Operator,Operations,Complete,90.5,Available,2021-11-18
P-01880,U-030,Officer,Operator,Maintenance,In Progress,72.8,Available,2019-12-06
P-01881,U-020,Senior,Engineer,Maintenance,In Progress,68.8,Deployed,2019-01-05
P-01882,U-047,Lead,Operator,Planning,In Progress,66.0,Available,2021-11-12
P-01883,U-007,Officer,Engineer,Planning,In Progress,76.2,Training,2022-03-22
P-01884,U-054,Senior,Operator,Planning,In Progress,75.9,Available,2021-07-27
P-01885,U-049,Officer,Analyst,Operations,Complete,97.1,Training,2026-03-11
P-01886,U-056,Officer,Logistics,Systems,In Progress,74.1,Deployed,2023-06-24
P-01887,U-043,Junior,Engineer,Maintenance,In Progress,88.3,Available,2022-02-20
P-01888,U-024,Junior,Logistics,Planning,In Progress,70.3,Available,2025-03-29
P-01889,U-015,Senior,Operator,Maintenance,In Progress,61.2,Deployed,2022-11-19
P-01890,U-006,Senior,Medic,Maintenance,In Progress,70.3,Deployed,2021-06-28
P-01891,U-025,Officer,Operator,Operations,In Progress,85.4,Deployed,2020-01-06
P-01892,U-011,Junior,Medic,Systems,In Progress,72.9,Deployed,2025-09-11
P-01893,U-047,Officer,Operator,Maintenance,In Progress,59.6,Deployed,2019-06-12
P-01894,U-037,Officer,Operator,Planning,In Progress,77.8,Training,2025-07-08
P-01895,U-026,Junior,Analyst,Planning,In Progress,74.0,Deployed,2025-02-10
P-01896,U-008,Officer,Logistics,Operations,In Progress,82.2,Deployed,2025-12-26
P-01897,U-022,Lead,Operator,Maintenance,Complete,93.0,Deployed,2023-12-18
P-01898,U-049,Junior,Engineer,Systems,In Progress,72.3,Deployed,2025-12-08
P-01899,U-038,Officer,Medic,Systems,In Progress,66.6,Deployed,2021-02-27
P-01900,U-003,Officer,Medic,Operations,In Progress,60.5,Available,2024-09-20
P-01901,U-044,Officer,Analyst,Operations,In Progress,71.6,Available,2024-02-02
P-01902,U-018,Lead,Medic,Systems,In Progress,63.0,Deployed,2021-08-22
P-01903,U-020,Junior,Analyst,Systems,In Progress,83.6,Training,2022-06-11
P-01904,U-016,Junior,Engineer,Maintenance,In Progress,62.9,Training,2023-07-15
P-01905,U-028,Lead,Medic,Maintenance,Complete,95.2,Training,2023-11-15
P-01906,U-037,Junior,Analyst,Operations,In Progress,75.6,Available,2019-08-25
P-01907,U-039,Junior,Medic,Systems,Complete,99.0,Deployed,2025-02-21
P-01908,U-048,Officer,Operator,Maintenance,In Progress,68.6,Training,2020-11-18
P-01909,U-047,Junior,Medic,Systems,In Progress,84.4,Available,2024-05-27
P-01910,U-017,Senior,Operator,Operations,Complete,99.8,Training,2023-04-22
P-01911,U-014,Officer,Analyst,Maintenance,In Progress,89.2,Deployed,2023-08-17
P-01912,U-043,Officer,Engineer,Operations,In Progress,57.1,Deployed,2018-01-21
P-01913,U-027,Officer,Engineer,Operations,In Progress,64.3,Deployed,2023-03-10
P-01914,U-039,Lead,Operator,Maintenance,Complete,90.6,Available,2018-03-16
P-01915,U-046,Junior,Logistics,Operations,In Progress,69.6,Training,2025-12-26
P-01916,U-039,Officer,Logistics,Operations,Complete,92.2,Training,2022-05-13
P-01917,U-031,Junior,Analyst,Operations,Complete,96.8,Deployed,2021-11-19
P-01918,U-053,Officer,Medic,Maintenance,In Progress,75.0,Training,2025-10-28
P-01919,U-011,Lead,Medic,Systems,In Progress,85.3,Training,2024-05-29
P-01920,U-006,Lead,Operator,Maintenance,In Progress,83.4,Training,2023-12-10
P-01921,U-024,Lead,Medic,Planning,In Progress,68.7,Available,2019-10-01
P-01922,U-040,Lead,Logistics,Planning,In Progress,81.3,Deployed,2018-04-06
P-01923,U-049,Officer,Engineer,Planning,Complete,98.8,Training,2019-06-24
P-01924,U-025,Junior,Operator,Planning,In Progress,82.3,Available,2020-05-15
P-01925,U-008,Senior,Engineer,Planning,In Progress,80.7,Training,2022-08-01
P-01926,U-023,Officer,Logistics,Operations,In Progress,88.8,Deployed,2022-01-27
P-01927,U-041,Lead,Logistics,Planning,In Progress,59.8,Available,2022-07-13
P-01928,U-032,Lead,Medic,Maintenance,In Progress,89.1,Available,2022-06-27
P-01929,U-019,Lead,Medic,Maintenance,In Progress,55.2,Training,2019-02-07
P-01930,U-025,Officer,Medic,Planning,In Progress,81.1,Available,2025-02-19
P-01931,U-002,Senior,Logistics,Systems,In Progress,82.8,Training,2024-05-26
P-01932,U-047,Junior,Analyst,Maintenance,In Progress,73.4,Available,2024-05-20
P-01933,U-041,Junior,Analyst,Systems,In Progress,76.2,Training,2024-09-29
P-01934,U-057,Officer,Logistics,Maintenance,Complete,90.5,Available,2023-02-19
P-01935,U-024,Senior,Engineer,Planning,In Progress,87.5,Training,2020-03-29
P-01936,U-021,Junior,Operator,Maintenance,In Progress,61.0,Training,2023-03-04
